Title,Company,Location,Type,Level,YearsExp,Country,Skills
MEP Site Engineer,El-Alameya for Engineering and Project Management,Cairo,Full Time,Experienced,3-8 Yrs of Exp,Egypt,"Design, Construction, Mechanical Engineering, Electrical Engineering, MEP, Engineering - Mechanical/Electrical"
MIS Specialist - Saudi Arabia,Confidential,Riyadh,Full Time,Experienced,2-10 Yrs of Exp,Saudi Arabia,"Computer Science, Information Technology (IT), MIS, CCNA, Engineering, Software, Hardware, Administration, IT/Software Development"
MRP Planner,Alumil,Heliopolis,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Planning, MRP, Logistics, Shipments, Logistics/Supply Chain"
MRP Supervisor,Egyptian German Automotive,6th of October,Full Time,Experienced,3-5 Yrs of Exp,Giza,"Logistics, Supply Chain, Manufacturing, Planning, CSCP, ERP, SCM, CPIM, Logistics/Supply Chain, Engineering - Other"
MS Dynamics AX Developer,Sega_m,10th of Ramadan City,Full Time,Entry Level,0-1 Yrs of Exp,Cairo,"Dynamics AX Developer, Computer Science, Information Technology (IT), Software Engineering, Software Development, Computer Engineering"
Maadi Branch Manager,Confidential,Maadi,Full Time,Manager,4-5 Yrs of Exp,Cairo,"Express, Customer Service, Customer Care, Operations, Management, Operations/Management"
Machine Learning Engineer,Flairstech,Maadi,Full Time,Experienced,2-4 Yrs of Exp,Cairo,"Computer Science, Information Technology (IT), PyTorch, Keras, Java, Python, Robust, Mathematics, Computer Engineering"
Magento Developer,Comfort Egypt,Nasr City,Freelance / Project,Experienced,3-5 Yrs of Exp,Cairo,"Communication, XML, English, Software Development, Information Technology (IT), Software Engineering, javaScript"
Magento Development Consultant,Comfort Egypt,Nasr City,Freelance / Project,Manager,10-10 Yrs of Exp,Cairo,"Communication, XML, English, Software Development, Information Technology (IT), Software Engineering, javaScript, HTML"
Maintenance Engineer,Confidential,Cairo,Full Time,Entry Level,1-2 Yrs of Exp,Egypt,"Electrical, Machine Maintenance, Education, Training, Printing Machine, Installation/Maintenance/Repair"
Maintenance Engineer,Confidential,Cairo,Full Time,Experienced,6-10 Yrs of Exp,Egypt,"Mechanical Engineering, English, Installation/Maintenance/Repair, Engineering - Mechanical/Electrical"
Maintenance Engineer,Diamond for Import & Export,Giza,Full Time,Experienced,5-7 Yrs of Exp,Egypt,"Mechanical Engineering, Chinese Heavy Equipments, Troubleshooting, Repair, Installation/Maintenance/Repair"
Maintenance Engineer,Egyptian Packaging and Plastic Systems Corp,Manial,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"Electrical Engineering, Mechanical Engineering, Information Technology (IT), English, Arabic, Communication Skills"
Maintenance Engineer,MAKTech 3d,6th of October,Full Time,Experienced,2-5 Yrs of Exp,Giza,"Mechatronics Engineering, Biomedical Engineering, FDM 3d printers, Arabic, English, SLA 3D Printers, Installation/Maintenance/Repair"
Maintenance Engineer,Unimix Egypt for Readymix concrete,Cairo,Full Time,Experienced,2-5 Yrs of Exp,Egypt,"Maintenance, Computer Skills, Mechanical Engineering, Installation/Maintenance/Repair, Engineering - Mechanical/Electrical"
Maintenance Engineer (Electromechanical Engineer),L'azurde for Jewelry,Obour City,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"Mechanical Engineering, Manufacturing, Mechatronics, English, Auto CAD, Engineering - Construction/Civil/Architecture"
Maintenance Engineer - Canon,Almotaheda,Nasr City,Full Time,Experienced,5+ Yrs of Exp,Cairo,"Mechanical Engineering, Electrical Engineering, Maintenance, Installation/Maintenance/Repair, Engineering - Mechanical/Electrical"
Maintenance Engineer - Xerox,Almotaheda,Nasr City,Full Time,Experienced,5+ Yrs of Exp,Cairo,"Mechanical Engineering, Electrical Engineering, Maintenance, Installation/Maintenance/Repair, Engineering - Mechanical/Electrical"
Maintenance Manager,Confidential,Alexandria,Full Time,Manager,5-10 Yrs of Exp,Egypt,"Management, Mechanical Engineering, Maintenance, Communication, Installation/Maintenance/Repair, Engineering - Mechanical/Electrical"
Maintenance Manager - Industrial,Sima Food Industries,10th of Ramadan City,Full Time,Manager,10+ Yrs of Exp,Sharqia,"Maintenance Management, Industrial Engineering, Mechanical Engineering, English, Installation/Maintenance/Repair, Engineering - Mechanical/Electrical"
Maintenance Mechanical Engineer -Fayoum,Green gardens group,Fayoum,Full Time,Experienced,12+ Yrs of Exp,Fayoum,"Maintenance, Mechanical Engineering, Technical, Electrical Engineering, Communication, ISO, Skills, Installation/Maintenance/Repair"
Maintenance Planning Engineer- Sharqia,Al monairy,10th of Ramadan City,Full Time,Experienced,5-8 Yrs of Exp,Sharqia,"CMMS, ERP, Mechanical Engineering, Project Management, Maintenance, PMP, MS Office, AutoCAD, Installation/Maintenance/Repair"
Maintenance Supervisor,Confidential,Cairo,Full Time,Experienced,5+ Yrs of Exp,Egypt,"Engineering, Construction, Installation/Maintenance/Repair"
Mall Manager,Confidential,Tanta,Full Time,Manager,5-10 Yrs of Exp,Gharbia,"Retail, Mall Management, Administration, Operations/Management"
Mall Security Manager,Confidential,New Cairo,Full Time,Manager,5-7 Yrs of Exp,Cairo,"Security, Malls, Administration, Retail, Administration, Operations/Management"
Management Software System Administrator,THE PLATFORM,Farafra,Full Time,Experienced,5-10 Yrs of Exp,New Valley,"IT, Odoo, ERP System, IT Administration, Software Engineering, Food Supply Chain, Agriculture, Computer Science"
Managing Director CEO Assistant,Bakeland Egypt,10th of Ramadan City,Full Time,Experienced,5-10 Yrs of Exp,Sharqia,"Administration, Office Management, English, Research, Microsoft Office, Interpersonal Skills, CEO Assistant, Administration"
Managing Director Personal Assistant,Confidential,Sheikh Zayed,Full Time,Experienced,4-7 Yrs of Exp,Giza,"Secretary, Business Administration, English, Arabic, MS Office, Office Management, Microsoft Office, Administration"
Manufacturing Lab Technician,Greater Cairo Foundries Co. S.A.E,Belbes,Full Time,Experienced,5-10 Yrs of Exp,Sharqia,"ISO9001, ISO 17025, Manufacturing, Quality Control, ASTM E8, ASTM E10, Manufacturing/Production"
Map Production Specialist,Confidential,Cairo,Freelance / Project,Shift Based,null Yrs of Exp,Egypt,"30 Vacancies, Map Production, Engineering, Maps, Geographic Information System, GIS, Quality, Engineering - Other"
Market Intelligence & Retail Training Manager,Fawry Banking & Payment Technology Services,Mokattam,Full Time,Manager,7+ Yrs of Exp,Cairo,"Training, Sales Skills, Marketing, Business Administration, Sales Audit, Sales/Retail, Training/Instructor"
Market Quality Engineer - Alexandria,Prometeon Pirelli Tyres ( Ex-Pirelli ),Ameria,Full Time,Experienced,2-6 Yrs of Exp,Alexandria,"Quality Control, Quality Assurance, Market Research, Market Analysis, Marketing, Electro-mechanical, Mechanical Engineering, R&D"
Market Research Analyst,SME Consulting,Heliopolis,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Market Research, Analysis, Business, Statistics, Data Collection, Marketing, Web analytics, SAS, SPSS, CRM, Analyst/Research"
Marketing & Business Development Manager,Confidential,Sheraton,Full Time,Manager,7-10 Yrs of Exp,Cairo,"Business Development, Business Management, Distribution, Sales Skills, English, Franchise, Social Media, Network, Commercial Performance"
Marketing & Demand Generation Manager,Alnafitha,Zamalek,Full Time,Manager,5-8 Yrs of Exp,Cairo,"Lead Generation, Inbound Marketing, Leadership, CRM, IT, Communication Skills, English, Social Media, Business Development"
Marketing & Intentional Relations Manager,Agricultural Export council,Maadi,Full Time,Manager,7+ Yrs of Exp,Cairo,"Public Relations (PR), Social Media, Planning, Marketing Campaigns, Operations/Management, Marketing/PR/Advertising"
Marketing & Positioning - Intern - Brazil,AIESEC Cairo University,Sao Paulo,Internship,Entry Level,0-1 Yrs of Exp,Brazil,"Business Administration, Content Marketing, Digital Marketing, Marketing/PR/Advertising"
Marketing & Sales Representative,Ricci Trade,Mokattam,Full Time,Entry Level,0-3 Yrs of Exp,Cairo,"Marketing, Sales Skills, Communication, Negotiation, English, Marketing/PR/Advertising"
Marketing & Sales Representative,ema for hydropneumatic service,Allabban,Full Time,Entry Level,1-2 Yrs of Exp,Alexandria,"Sales Skills, Sales Target, Marketing/PR/Advertising, Sales/Retail"
Marketing And Sales Manager - Cairo,El Hoshby,Ain Shams,Full Time,Manager,10+ Yrs of Exp,Cairo,"MBA, Sales Skills, Sales Target, Lubricants, Sales Management, Marketing Management, Oil, Operations/Management, Marketing/PR/Advertising"
Marketing Assistant,El Sewedy Trading Group,Mohandessin,Full Time,Entry Level,1-2 Yrs of Exp,Giza,"Market Research, Marketing Assistant, E-marketing, engineering, electric, Marketing/PR/Advertising, Media/Journalism/Publishing"
Marketing Data Analyst,Nile Projects & Trading,Cairo,Full Time,Experienced,4-6 Yrs of Exp,Egypt,"Data Analysis, Marketing, Marketing/PR/Advertising, Analyst/Research, Media/Journalism/Publishing"
Marketing Deputy Manager - Cairo,KnowledgeNet,Nasr City,Full Time,Manager,8-12 Yrs of Exp,Cairo,"Communication Skills, Marketing Campaigns, Project Management, Marketing Management, Operations/Management, Marketing/PR/Advertising"
Marketing Director,dejavu,New Cairo,Full Time,Senior Management,10+ Yrs of Exp,Cairo,"Market Research, Trade Marketing, Advertising, Digital Marketing, Product Marketing, Operations/Management"
Marketing Executive,Digitec,Cairo,Full Time,Experienced,2-4 Yrs of Exp,Egypt,"Digital Media, Social Media, E-marketing, Business Administration, Marketing/PR/Advertising, Media/Journalism/Publishing"
Marketing Executive,EasyKash,Dokki,Full Time,Entry Level,1-3 Yrs of Exp,Giza,"Market Research, Social Media, Digital Marketing, Sales, Communication, Creative/Design/Art, Marketing/PR/Advertising"
Marketing Executive,Hands of Hope Physical Therapy,Maadi,Full Time,Entry Level,1+ Yrs of Exp,Cairo,"Google Adwords, Content Writing, English, Social Media, CRM, Writing/Editorial, Marketing/PR/Advertising"
Marketing Executive,ITPS,Maadi,Full Time,Experienced,2-4 Yrs of Exp,Cairo,"Management, Market Research, Corporate Sales, Online Market, Marketing/PR/Advertising, Sales/Retail, Media/Journalism/Publishing"
Marketing Executive,International Business Systems I.B.S.,Mokattam,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Advertising, Marketing Agency, Design, Media, PR, Sales, Brand Management, Content, Copy Writing, Digital Marketing"
Marketing Executive,Keep In Touch Advertising Company,Heliopolis,Full Time,Experienced,2+ Yrs of Exp,Cairo,"E-marketing, Social Media, Advertising, English, Market Research, Marketing/PR/Advertising, Media/Journalism/Publishing"
Marketing Executive,Meeza,New Cairo,Full Time,Experienced,3+ Yrs of Exp,Cairo,"Market Research, Social Media, Customer Support, Online Media, Marketing/PR/Advertising, Analyst/Research, Media/Journalism/Publishing"
Marketing Executive,Unicity,New Cairo,Full Time,Experienced,3+ Yrs of Exp,Cairo,"Market Research, Real Estate, Social Media, English, Digital Marketing, E-marketing, Marketing/PR/Advertising"
Marketing Executive/ Sales Admin,Location Real Estate,Heliopolis,Full Time,Experienced,2-3 Yrs of Exp,Cairo,"Real Estate, SEO, Creative, Content writing, Adobe Photoshop, Property, Writing/Editorial, Marketing/PR/Advertising"
Marketing Graphic Designer For Social Media,VadeCom,Haram,Full Time,Entry Level,0-4 Yrs of Exp,Giza,"Adobe Photoshop, Adobe Illustrator, Adobe Indesign, Web Design, Online Media, Graphic Design, GIFs, Campaigns, Marketing, Printing"
Marketing Head - E-Commerce,Arma,Heliopolis,Full Time,Manager,5-7 Yrs of Exp,Cairo,"Social Media, Business Administration, MBA, Aviation, Management, E-Commerce, E-marketing, Operations/Management"
Marketing Intern,Magdsoft,Nasr City,Internship,Student,0-1 Yrs of Exp,Cairo,"Upwork, Market Research, Business Development, Sales, Target Identification, Guru, Elance, PPH, Digital Marketing, MS Office"
Marketing Intern (Lviv - Ukraine),AIESEC - MANSOURA,Lviv,Internship,Entry Level,null Yrs of Exp,Ukraine,"Business Development, Business Planning, English, Content Marketing, Content Creation, Computer Skills, Microsoft Office, Media"
Marketing Internship - Smart Village Cairo,Prometeon Pirelli Tyres ( Ex-Pirelli ),Smart Village,Internship,Entry Level,0-1 Yrs of Exp,Giza,"Online Marketing, Advertising, Digital Marketing, Social Media, Business Development, Marketing/PR/Advertising, Analyst/Research"
Marketing Leads Qualifier - French Speaker,KONE,New Cairo,Full Time,Entry Level,1-2 Yrs of Exp,Cairo,"French, Customer Service, Marketing, English, Telesales, Arabic, Leads, Customer Service/Support, Marketing/PR/Advertising, Sales/Retail"
Marketing Manager,4level1,Maadi,Full Time,Manager,10-15 Yrs of Exp,Cairo,"Sales, Digital Marketing, Market Research, SEO, Online Marketing, Advertising, Brand management, Marketing/PR/Advertising"
Marketing Manager,AL EDRISI GROUP,Manila,Full Time,Work From Home,1-4 Yrs of Exp,Philippines,"Social Media, Market Research, Sales, E-Marketing, Marketing/PR/Advertising"
Marketing Manager,Confidential,Heliopolis,Full Time,Manager,5+ Yrs of Exp,Cairo,"Sales, Marketing Strategy, Marketing Plan, Marketing Campaign, Real Estate, Market Research, Marketing/PR/Advertising"
Marketing Manager,Connect Homes,New Cairo,Full Time,Manager,3-5 Yrs of Exp,Cairo,"Real Estate, Online Marketing, Market Research, Social Media, Sales, English, SEO, Advertising, Arabic, Operations/Management"
Marketing Manager,Cow Gifts,New Cairo,Full Time,Manager,5-10 Yrs of Exp,Cairo,"E-marketing, Market Research, Social Media, Communication Skills, Computer Skills, Microsoft Office, Retail, Adobe Photoshop"
Marketing Manager,Egavet,Giza,Full Time,Manager,10+ Yrs of Exp,Egypt,"Market Research, Medical, Digital Marketing, Advertising Campaigns, Operations/Management, Marketing/PR/Advertising"
Marketing Manager,El Khalifa group,Hadayek Alahram,Full Time,Manager,5+ Yrs of Exp,Giza,"Real Estate, Market Research, English, Marketing Manager, Management, Marketing MBA, Marketing/PR/Advertising"
Marketing Manager,French Company for Porcelain,Beni Suef,Full Time,Manager,10+ Yrs of Exp,Egypt,"Production, Manufacturing, Marketing, Sales, Marketing/PR/Advertising, Media/Journalism/Publishing"
Marketing Manager,Hala Garments,Zamalek,Full Time,Manager,3+ Yrs of Exp,Cairo,"Social Media, Market Research, Marketing Campaigns, BTL, ATL, Marketing/PR/Advertising"
Marketing Manager,Kandil Egypt,Heliopolis,Full Time,Manager,5+ Yrs of Exp,Cairo,"Digital Marketing, Online Marketing, Business, Marketing Strategy, Social Media, Content, Home Interior, Marketing/PR/Advertising"
Marketing Manager,Maxevia Corporate,Nasr City,Full Time,Manager,4-10 Yrs of Exp,Cairo,"Social Media, Analysis, SEO, Marketing Strategies, Marketing Campaigns, Sales, Marketing Management, Marketing/PR/Advertising"
Marketing Manager,Middle East Dental Company,Heliopolis,Full Time,Manager,5-15 Yrs of Exp,Cairo,"Sales, Market Research, Business Administration, Communication Skills, Online Marketing, Social Media, Business Development"
Marketing Manager,SYE English Community,Dokki,Full Time,Manager,5-10 Yrs of Exp,Giza,"Market Research, Social Media, Online Marketing, Marketing Management, Marketing Plan, Event Management, Education, FMCG"
Marketing Manager,Smart Group,Nasr City,Full Time,Manager,5+ Yrs of Exp,Cairo,"Market Research, Real Estate, Advertising, Marketing Management, Social Media, Operations/Management, Marketing/PR/Advertising"
Marketing Manager,Tabarak Holding,New Cairo,Full Time,Manager,15-20 Yrs of Exp,Cairo,"Real Estate, Sales, Market Research, Digital Marketing, Business, Communications, Campaigns, Product, Operations/Management"
Marketing Manager,سلسلة معامل حديثة بالقاهرة,Dokki,Full Time,Manager,3+ Yrs of Exp,Giza,"Marketing, Social Media, Market Research, Sales, Marketing/PR/Advertising, Media/Journalism/Publishing"
Marketing Manager (Commercial Real Estate),INMA Developments,New Cairo,Full Time,Manager,10-15 Yrs of Exp,Cairo,"Digital Marketing, Social Media, Commercial Real Estate, MBA, Marketing/PR/Advertising, Media/Journalism/Publishing"
Marketing Manager - Real Estate,Confidential,New Cairo,Full Time,Manager,8-12 Yrs of Exp,Cairo,"Real Estate Marketing, Marketing Campaigns, Social Media, Digital Marketing, Advertising, PR, Marketing/PR/Advertising"
Marketing Manager Intern - Lahore - Pakistane,AIESEC - MANSOURA,Lahore,Internship,Entry Level,null Yrs of Exp,Pakistan,"Business Administration, E-marketing, English, Content Marketing, Social Media Management, Digital Marketing, Operations/Management"
Marketing Officer - ASDP - Aswan,Aga Khan Foundation,Aswan,Full Time,Experienced,2-3 Yrs of Exp,Aswan,"Journalism, Public relations skills, Communication Skills, Digital Marketing, Social Sciences, English, Arabic, Creative/Design/Art"
Marketing Operation Manager,Confidential,Maadi,Full Time,Manager,4-6 Yrs of Exp,Cairo,"Strategy, Market Research, Pharmacy, Pharmaceutical, Physician, Physics, Medical, Social Media, relationship, Negotiation"
Marketing Representative,Dayrah Solutions,Maadi,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"Marketing, Business Administration, Sales Target, English, Social Media, Communication, Marketing/PR/Advertising"
Marketing Representative,Ideal House,6th of October,Full Time,Experienced,3+ Yrs of Exp,Giza,"Marketing, Social Media, Sales Skills, Business, English, Marketing/PR/Advertising, Sales/Retail"
Marketing Representative (Raw Material) From Alex...,Pharmaceutical Egyptian Association,Alexandria,Full Time,Experienced,3-5 Yrs of Exp,Egypt,"Pharmacutical, Medical, Sales, Marketing/PR/Advertising, Sales/Retail, Pharmaceutical"
Marketing Social Media Specialist,HEIBCO,New Cairo,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"E-marketing, HTML, Facebook, Software, Web Development, Graphic Designer, Public Relations, CSS, Dreamweaver"
Marketing Specialist,Actrans Lab-Legal,Cairo,Full Time,Part Time,1-7 Yrs of Exp,Egypt,"E-marketing, Social Media Campaigns, Marketing/PR/Advertising, Media/Journalism/Publishing"
Marketing Specialist,BCS,Cairo,Full Time,Experienced,3+ Yrs of Exp,Egypt,"E-marketing, SEO, Online Marketing, Communications, English, New Media, Public Relations, Business, Marketing/PR/Advertising"
Marketing Specialist,Cultiv,Bourj Alarab,Full Time,Entry Level,1-3 Yrs of Exp,Alexandria,"E-marketing, Communication Skills, English, Writing, Communications, Arabic, Marketing/PR/Advertising"
Marketing Specialist,Digital Experts,Heliopolis,Full Time,Experienced,3+ Yrs of Exp,Cairo,"Advertising, Digital Media, E-marketing, Analysis, Business Development, Social Media, English, Computer Skills, KPI, ROI"
Marketing Specialist,El Khalifa group,Hadayek Alahram,Full Time,Experienced,3-5 Yrs of Exp,Giza,"SEO, Communication Skills, Web Design, Social Media Campaigns, Marketing/PR/Advertising, Media/Journalism/Publishing"
Marketing Specialist,El Nahar for Medical Solutions,Dokki,Full Time,Experienced,2-4 Yrs of Exp,Giza,"Social Media, Advertising, Market Research, Public Relations (PR), English, Marketing/PR/Advertising, Media/Journalism/Publishing"
Marketing Specialist,Great Castle,Heliopolis,Full Time,Entry Level,1-2 Yrs of Exp,Cairo,"Social Media, E-marketing, English, Marketing/PR/Advertising, Media/Journalism/Publishing"
Marketing Specialist,MRI Egypt,Dakahlia,Full Time,Experienced,5-10 Yrs of Exp,Egypt,"Sales, Communication Skills, BSc Degree, Social Media, E-marketing, English, Strategic Planning, Creative, Marketing/PR/Advertising"
Marketing Specialist,Magdy Taalab,Obour City,Full Time,Entry Level,1-2 Yrs of Exp,Cairo,"Packaging, Social Media, E-marketing, Marketing Plans, Marketing/PR/Advertising, Media/Journalism/Publishing"
Marketing Specialist,MatsMall,Cairo,Full Time,Work From Home,1-3 Yrs of Exp,Egypt,"E-marketing, Social Media, Digital Marketing, Sales, Branding, Graphic Design, Google Analytics, Content, Writing, Editing"
Marketing Specialist,Monginis Bakery,Abu Rawash,Full Time,Entry Level,1-3 Yrs of Exp,Giza,"Marketing Strategy, Social Media Strategy, Offline Marketing, Marketing/PR/Advertising, Media/Journalism/Publishing"
Marketing Specialist,Pyramid Glass Company,Bourj Alarab,Full Time,Experienced,2-5 Yrs of Exp,Alexandria,"E-marketing, Writing, Business Administration, Editing, Content, Communication, English, Marketing/PR/Advertising"
Marketing Specialist,Simplex,Nasr City,Full Time,Experienced,1-3 Yrs of Exp,Cairo,"E-marketing, Business Development, planning, Strategic, Digital Marketing, Microsoft Office, Communication Skills, Computer Skills"
Marketing Specialist,Solkit Egypt,Cairo,Full Time,Experienced,3+ Yrs of Exp,Egypt,"E-marketing, Digital Marketing, Marketing/PR/Advertising, Media/Journalism/Publishing"
Marketing Specialist,Sparks preschool,New Cairo,Full Time,Part Time,2+ Yrs of Exp,Cairo,"Social Media, E-marketing, English, Photoshop, Marketing/PR/Advertising, Media/Journalism/Publishing"
